cycle Data5 Data15 Data25 Data35 Data45
0
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26     0
27     0
28     0
29     0
30     5
31     5
32     5
33     5
34     5
35     5
36     5
37     5
38     5
39     5
40     5
41     5
42     5
43     5
44     5
45     5
46     5
47     5
48     5
49     5
50     5
51     5
52     5
53     5
54     5
55     5
56     5
57     5
58     5
59     5
60     5
61     5
62     5
63     5
64     5
65     5
66     5
67     5
68     5
69     5
70     5
71     5
72     5
73     5
74     5
75     5
206     5     5     5   196
207     5     5     5   201
208     5     5     5   211
209     5     5     5   224
210     5     5     5   231
211     5     5     5   240
212     5     5     5   253
213     5     5     5   263
214     5     5     5   270
215     5     5     5   275
216     5     5     5   334
217     5     5     5   381
218     5     5     5   433
219     5     5     5   477
220     5     5     5   516
221     5     5     5   554
222     5     5     5   593
223     5     5     5   631
224     5     5     5   665
225     5     5     5   699
226     5     5     5   742     0
227     5     5     5   774     0
228     5     5     5   809     0
229     5     5     5   841    10
230     5     5     5   870    10
231     5     5     5   903    10
232     5     5     5   940    10
233     5     5     5   960    10
234     5     5     5   990    10
235     5     5     5  1021    10
236     5     5     5  1049    10
237     5     5     5  1078    10
238     5     5     5  1098    10
239     5     5     5  1098    10
240     5     5     5  1098    10
241     5     5     5  1098    10
242     5     5     5  1090    10
243     5     5     5  1084    10
244     5     5     5  1084    10
245     5     5     5  1083    12
246     5     5     5  1083    16
247     5     5     5  1080    16
248     5     5     5  1077    20
249     5     5     5  1077    32
250     5     5     5  1075    51
251     5     5     5  1070    64
252     5     5     5  1067    85
253     5     5     5  1067   102
254     5     5     5  1059   136
255     5     5     5  1055   166
256     5     5     5  1052   209
257     5     5     5  1037   252
258     5     5     5  1022   306
259     5     5     5  1018   355
260     5     5     5  1011   389
261     5     5     5  1004   456
262     5     5     5  1000   502
263     5     5     5   992   542
264     5     5     5   982   583
265     5     5     5   973   620
266     5     5     5   967   672
267     5     5     5   958   720
268     5     5     5   952   756
269     5     5     5   940   799
270     5     5     5   922   839
271     5     5     5   916   892
272     5     5     5   902   927
273     5     5     5   896   968
274     5     5     5   878  1008
275     5     5     5   875  1052
276     5     5     5   873  1091
277     5     5     5   872  1133
278     5     5     5   856  1174
279     5     5     5   847  1219
280     5     5     5   835  1261
281     5     5     5   821  1306
282     5     5     5   770  1334
283     5     5     5   685  1371
284     5     5     5   629  1408
285     5     5     5   620  1442
286     5     5     5   589  1470
287     5     5     5   580  1500
288     5     5     5   548  1500
289     5     5     5   513  1500
290     5     5     5   445  1500
291     5     5     5   371  1500
292     5     5     5   356  1490
293     5     5     5   275  1490
294     5     5     5   257  1490
295     5     5     5   234  1490
296     5     5     5   228  1490
297     5     5     5   166  1490
298     5     5     5   158  1490
299     5     5     5   137  1490
300     5     5     5    94  1490
301     5     5     5    79  1490
302     5     5     5    15  1490
303     5     5     5     5  1490
304     5     5     5     5  1490
305     5     5     5     5  1490
306     5     5     5     5  1490
307     5     5     5     5  1490
308     5     5     5     5  1490
309     5     5     5     5  1489
310     5     5     5     5  1488
311     5     5     5     5  1487
312     5     5     5     5  1487
313     5     5     5     5  1460
314     5     5     5     5  1460
315     5     5     5     5  1444
316     5     5     5     5  1415
317     5     5     5     5  1386
318     5     5     5     5  1380
319     5     5     5     5  1365
320     5     5     5     5  1341
321     5     5     5     5  1296
322     5     5     5     5  1288
323     5     5     5     5  1171
324     5     5     5     5  1116
325     5     5     5     5  1076
326     5     5     5     5  1066
327     5     5     5     5  1064
328     5     5     5     5  1000
329     5     5     5     5   920
330     5     5     5     5   862
331     5     5     5     5   791
332     5     5     5     5   741
333     5     5     5     5   706
334     5     5     5     5   701
335     5     5     5     5   691
336     5     5     5     5   614
337     5     5     5     5   600
338     5     5     5     5   567
339     5     5     5     5   539
340     5     5     5     5   526
341     5     5     5     5   486
342     5     5     5     5   403
343     5     5     5     5   319
344     5     5     5     5   280
345     5     5     5     5   241
346     5     5     5     5   233
347     5     5     5     5   182
348     5     5     5     5   112
349     5     5     5     5    48
350     5     5     5     5    30
351     5     5     5     5    28
352     5     5     5     5    14
353     5     5     5     5     5
354     5     5     5     5     5
355     5     5     5     5     5
356     5     5     5     5     5
357     5     5     5     5     5
358     5     5     5     5     5
359     5     5     5     5     5
360     5     5     5     5     5
361     5     5     5     5     5
362     5     5     5     5     5
363     5     5     5     5     5
364     5     5     5     5     5
365     5     5     5     5     5
366     5     5     5     5     5
367     5     5     5     5     5
368     5     5     5     5     5
369     5     5     5     5     5
370     5     5     5     5     5
371     5     5     5     5     5
372     5     5     5     5     5
373     5     5     5     5     5
374     5     5     5     5     5
375     5     5     5     5     5
376     5     5     5     5     5
377     5     5     5     5     5
378     5     5     5     5     5
379     5     5     5     5     5
380     5     5     5     5     5
381     5     5     5     5     5
382     5     5     5     5     5
383     5     5     5     5     5
384     5     5     5     5     5
385     5     5     5     5     5
386     5     5     5     5     5
387     5     5     5     5     5
388     5     5     5     5     5
389     5     5     5     5     5
390     5     5     5     5     5
391     5     5     5     5     5
392     5     5     5     5     5
393     5     5     5     5     5
394     5     5     5     5     5
395     5     5     5     5     5
396     5     5     5     5     5
397     5     5     5     5     5
398     5     5     5     5     5
399     5     5     5     5     5
400     5     5     5     5     5
401     5     5     5     5     5
402     5     5     5     5     5
403     5     5     5     5     5
404     5     5     5     5     5
405     5     5     5     5     5
406     5     5     5     5     5
407     5     5     5     5     5
408     5     5     5     5     5
409     5     5     5     5     5
410     5     5     5     5     5
411     5     5     5     5     5
412     5     5     5     5     5
413     5     5     5     5     5
414     5     5     5     5     5
415     5     5     5     5     5
416     5     5     5     5     5
417     5     5     5     5     5
418     5     5     5     5     5
419     5     5     5     5     5
420     5     5     5     5     5
421     5     5     5     5     5
422     5     5     5     5     5
