Cycle	Now Cost	Average Cost	Number of Replication
284	2007	332.4526315789474	6
285	1647	337.04895104895104	5
286	327	337.01393728222996	1
287	1018	339.37847222222223	3
288	315	339.29411764705884	1
289	2051	345.1965517241379	6
290	1322	348.553264604811	4
291	993	350.76027397260276	3
292	356	350.77815699658703	1
293	662	351.83673469387753	2
294	2743	359.94237288135594	8
295	1327	363.2094594594595	4
296	2663	370.95286195286195	8
297	2030	376.52013422818794	6
298	667	377.4916387959866	2
299	2341	384.0366666666667	7
300	2302	390.4086378737542	7
301	3688	401.32781456953643	11
302	6984	423.05280528052805	21
303	5009	438.1381578947368	15
304	2938	446.3344262295082	9
305	1991	451.38235294117646	6
306	1967	456.31921824104234	6
307	6017	474.3733766233766	18
308	1989	479.27508090614884	6
309	4658	492.7548387096774	14
310	1646	496.4630225080386	5
311	2325	502.32371794871796	7
312	4258	514.3226837060703	13
313	2979	522.171974522293	9
314	2698	529.0793650793651	8
315	4060	540.253164556962	12
316	1324	542.7255520504732	4
317	5718	559.0	17
318	3273	567.5078369905956	10
319	2023	572.05625	6
320	1016	573.4392523364486	3
321	3037	581.0900621118012	9
322	2663	587.5356037151703	8
323	3295	595.891975308642	10
324	3428	604.6061538461538	10
325	2698	611.0276073619632	8
326	8039	633.743119266055	24
327	3959	643.8810975609756	12
328	1363	646.0668693009119	4
329	2339	651.1969696969697	7
330	2671	657.2990936555891	8
331	3677	666.394578313253	11
332	2718	672.5555555555555	8
333	6018	688.5598802395209	18
334	3332	696.4507462686568	10
335	4255	707.0416666666666	13
336	3055	714.0089020771513	9
337	3403	721.9644970414201	10
338	4773	733.9144542772862	14
339	3377	741.6882352941177	10
340	7967	762.8768328445748	24
341	6730	780.3245614035088	20
342	4692	791.7288629737609	14
343	5034	804.0610465116279	15
344	2028	807.6086956521739	6
345	3657	815.8439306358382	11
346	3469	823.4899135446686	10
347	1035	824.0977011494252	3
348	3271	831.1088825214899	10
349	6002	845.8828571428571	18
350	1655	848.1880341880342	5
351	3007	854.3210227272727	9
352	2315	858.4589235127479	7
353	1654	860.7062146892655	5
354	2979	866.6732394366197	9
355	2713	871.8595505617977	8
356	2321	875.9187675070028	7
357	2998	881.8463687150838	9
358	4432	891.7353760445683	13
359	2324	895.7138888888888	7
360	1326	896.9058171745153	4
361	2755	902.0386740331492	8
362	2645	906.8402203856749	8
363	1311	907.9505494505495	4
364	3359	914.6657534246575	10
365	5023	925.8907103825137	15
366	962	925.9891008174387	3
367	1311	927.0353260869565	4
368	1358	928.2032520325204	4
369	1350	929.3432432432433	4
370	3357	935.8867924528302	10
371	4664	945.9086021505376	14
372	4394	955.1528150134048	13
373	2018	957.9946524064171	6
374	1673	959.9013333333334	5
375	987	959.9734042553191	3
376	0	957.4270557029178	0
377	3382	963.8412698412699	10
378	2376	967.5672823218997	7
379	2633	971.95	8
380	1326	972.8792650918635	4
381	1338	973.8350785340314	4
382	1029	973.9791122715404	3
383	2283	977.3880208333334	7
384	1950	979.9142857142857	6
385	1671	981.7046632124352	5
386	4380	990.4857881136951	13
387	1992	993.0670103092783	6
388	1966	995.5681233933162	6
389	1306	996.3641025641026	4
390	2380	999.9028132992328	7
391	1292	1000.6479591836735	4
392	1658	1002.3206106870228	5
393	1974	1004.7868020304569	6
394	1994	1007.2911392405064	6
395	1322	1008.0858585858585	4
396	316	1006.3425692695214	1
397	1000	1006.3266331658291	3
398	1339	1007.1604010025063	4
399	1663	1008.8	5
400	976	1008.718204488778	3
401	1354	1009.5771144278607	4
402	1686	1011.2555831265508	5
403	678	1010.4306930693069	2
404	0	1007.9358024691358	0
405	989	1007.8891625615763	3
406	330	1006.2235872235872	1
407	664	1005.3848039215686	2
408	710	1004.6625916870415	2
409	338	1003.0365853658536	1
410	1045	1003.1386861313869	3
411	0	1000.7038834951456	0
412	1024	1000.7602905569007	3
413	0	998.3429951690821	0
414	338	996.7518072289157	1
415	0	994.3557692307693	0
416	0	991.9712230215828	0
417	0	989.5980861244019	0
418	0	987.236276849642	0
419	329	985.6690476190477	1
420	0	983.3277909738717	0
421	0	980.9976303317535	0
422	0	978.6784869976359	0
