Cycle	Now Cost	Average Cost
368	0	1616.3468834688347
369	1886	1617.0756756756757
370	7133	1631.9433962264152
371	446	1628.755376344086
372	2445	1630.9436997319035
373	114	1626.8877005347595
374	2448	1629.0773333333334
375	4632	1637.063829787234
376	1184	1635.8620689655172
377	1747	1636.1560846560847
378	3588	1641.306068601583
379	2829	1644.4315789473685
380	284	1640.8608923884515
381	4106	1647.3141361256544
382	3717	1652.7180156657964
383	3319	1657.0572916666667
384	4223	1663.722077922078
385	1869	1664.2538860103627
386	2316	1665.937984496124
387	3950	1671.8247422680413
388	0	1667.5269922879177
389	1327	1666.6538461538462
390	1951	1667.381074168798
391	479	1664.3494897959183
392	2131	1665.5368956743002
393	2118	1666.6852791878173
394	3108	1670.3341772151898
395	6278	1681.969696969697
396	4754	1689.7078085642318
397	2725	1692.3090452261306
398	3253	1696.220551378446
399	1406	1695.495
400	0	1691.2668329177056
401	1142	1689.9004975124378
402	0	1685.7071960297767
403	3563	1690.3539603960396
404	3678	1695.2617283950617
405	3837	1700.536945812808
406	1221	1699.3587223587224
407	3860	1704.6544117647059
408	1255	1703.5550122249388
409	2907	1706.490243902439
410	0	1702.338199513382
411	1172	1701.0509708737864
412	3706	1705.905569007264
413	9517	1724.7729468599034
414	0	1720.6168674698795
415	3575	1725.0745192307693
416	2047	1725.8465227817746
417	1104	1724.358851674641
418	2582	1726.4057279236276
419	2843	1729.0642857142857
420	1880	1729.4228028503562
421	6456	1740.6232227488151
422	1750	1740.645390070922
423	5095	1748.5566037735848
424	3234	1752.0517647058823
425	1343	1751.0915492957747
426	3069	1754.1779859484777
427	339	1750.8714953271028
428	294	1747.4755244755245
429	4438	1753.7325581395348
430	387	1750.5614849187934
431	810	1748.3842592592594
432	785	1746.1593533487298
433	2726	1748.4170506912442
434	2715	1750.6390804597702
435	4262	1756.3990825688074
436	0	1752.3798627002288
437	1188	1751.0913242009133
438	2108	1751.9043280182232
439	962	1750.1090909090908
440	1948	1750.5578231292518
441	5739	1759.5814479638009
442	216	1756.097065462754
443	0	1752.1418918918919
444	615	1749.5865168539326
445	2706	1751.7309417040358
446	235	1748.337807606264
447	2714	1750.4933035714287
448	1421	1749.7594654788418
449	0	1745.871111111111
450	4790	1752.620842572062
451	7108	1764.4690265486727
452	6035	1773.896247240618
453	3402	1777.4823788546255
454	2009	1777.9912087912087
455	561	1775.3223684210527
456	9905	1793.1115973741794
457	8774	1808.353711790393
458	6432	1818.4270152505446
459	1556	1817.8565217391304
460	2828	1820.047722342733
461	1683	1819.7510822510822
462	5918	1828.6025917926565
463	3235	1831.6336206896551
464	6150	1840.920430107527
465	130	1837.2489270386266
466	1732	1837.0235546038543
467	3517	1840.6132478632478
468	0	1836.6886993603412
469	3914	1841.108510638298
470	6847	1851.7367303609342
471	3519	1855.2690677966102
472	3874	1859.536997885835
473	811	1857.324894514768
474	9220	1872.8252631578948
475	8238	1886.1974789915967
476	0	1882.2431865828091
477	1124	1880.6569037656905
478	2670	1882.3048016701462
479	3522	1885.7208333333333
480	877	1883.6237006237006
481	2363	1884.6182572614107
482	3182	1887.304347826087
483	2324	1888.206611570248
484	8698	1902.2474226804125
485	5541	1909.7345679012346
486	5910	1917.9486652977412
487	0	1914.0184426229507
488	2443	1915.1002044989775
489	0	1911.1918367346939
490	2731	1912.8615071283095
491	5413	1919.9756097560976
492	591	1917.2799188640975
493	5243	1924.012145748988
494	2640	1925.4585858585858
495	3425	1928.4818548387098
496	1105	1926.8249496981891
497	0	1922.9558232931727
498	5498	1930.120240480962
499	9694	1945.648
