cycle	Ave: occupancy
451	2262917.0
452	2262917.0
453	2262917.0
454	2262917.0
455	2262917.0
456	2262917.0
457	2262917.0
458	2262917.0
459	2262917.0
460	2262917.0
461	2262917.0
462	2262917.0
463	2262917.0
464	2262917.0
465	2262917.0
466	2262917.0
467	2262917.0
468	2262917.0
469	2262917.0
470	2262917.0
471	2262917.0
472	2262917.0
473	2262917.0
474	2262917.0
475	2262917.0
476	2262917.0
477	2262917.0
478	2262917.0
479	2262917.0
480	2262917.0
481	2262917.0
482	2262917.0
483	2262917.0
484	2262917.0
485	2262917.0
486	2262917.0
487	2262917.0
488	2262917.0
489	2262917.0
490	2262917.0
491	2262917.0
492	2262917.0
493	2262917.0
494	2262917.0
495	2262917.0
496	2262917.0
497	2262917.0
498	2262917.0
499	2262917.0

