Cycle	Now Replications	Total Replications
148	13486	30517
149	13599	30796
150	13726	31098
151	13862	31402
152	13992	31673
153	14086	31934
154	14174	32212
155	14358	32564
156	14465	32813
157	14509	33048
158	14564	33295
159	14608	33535
160	14704	33803
161	14799	34097
162	14800	34341
163	14741	34534
164	14699	34743
165	14747	34994
166	14755	35195
167	14779	35442
168	14743	35659
169	14726	35889
170	14696	36168
171	14668	36406
172	14545	36603
173	14437	36806
174	14433	37036
175	14479	37348
176	14455	37610
177	14485	37895
178	14440	38147
179	14395	38439
180	14392	38779
181	14401	39040
182	14406	39301
183	14391	39533
184	14390	39804
185	14416	40124
186	14355	40359
187	14292	40568
188	14151	40757
189	14096	41016
190	14097	41314
191	13977	41543
192	13794	41756
193	13575	41920
194	13437	42152
195	13308	42370
196	13128	42558
197	12932	42718
198	12797	42917
199	12585	43094
200	12495	43384
201	12374	43651
202	12185	43858
203	12000	44062
204	11901	44323
205	11830	44584
206	11762	44846
207	11614	45057
208	11483	45244
209	11368	45437
210	11398	45777
211	11375	46092
212	11314	46356
213	11248	46606
214	11165	46861
215	11188	47162
216	11168	47440
217	11116	47689
218	10966	47889
219	10916	48112
220	10975	48430
221	11021	48680
222	10992	48903
223	11007	49153
224	11042	49392
225	11118	49682
226	11181	49974
227	11148	50214
228	11066	50416
229	11031	50639
230	11026	50894
231	10973	51149
232	10985	51398
233	10956	51639
234	10971	51866
235	11096	52209
236	11173	52506
237	11238	52774
238	11255	53011
239	11269	53289
240	11336	53554
241	11415	53841
242	11495	54103
243	11525	54330
244	11658	54652
245	11813	54962
246	11851	55204
247	11911	55427
248	11990	55652
249	12081	55920
250	12192	56194
251	12238	56457
252	12244	56643
253	12238	56814
254	12245	57052
255	12178	57254
256	12090	57428
257	11966	57602
258	11834	57750
259	11732	57941
260	11584	58113
261	11402	58249
262	11225	58365
263	11028	58465
264	10739	58546
265	10530	58633
266	10314	58730
267	10040	58807
268	9766	58882
269	9502	58974
270	9196	59066
271	8972	59164
272	8760	59240
273	8581	59345
274	8411	59426
275	8236	59496
276	8075	59578
277	7916	59656
278	7697	59706
279	7507	59767
280	7350	59824
281	7173	59868
282	7002	59913
283	6873	59982
284	6695	60037
285	6525	60084
286	6372	60119
287	6166	60148
288	5976	60174
289	5796	60174
290	5591	60174
291	5371	60174
292	5210	60174
293	5029	60174
294	4790	60174
295	4551	60174
296	4364	60174
297	4167	60174
298	3982	60174
299	3785	60174
300	3589	60174
301	3396	60174
302	3219	60174
303	3041	60174
304	2877	60174
305	2709	60174
306	2540	60174
307	2409	60174
308	2286	60174
309	2170	60174
310	2031	60174
311	1893	60174
312	1790	60174
313	1675	60174
314	1556	60174
315	1438	60174
316	1328	60174
317	1209	60174
318	1094	60174
319	1007	60174
320	923	60174
321	849	60174
322	763	60174
323	671	60174
324	581	60174
325	505	60174
326	422	60174
327	335	60174
328	274	60174
329	205	60174
330	137	60174
331	95	60174
332	44	60174
333	15	60174
334	5	60174
335	0	60174
336	0	60174
337	0	60174
338	0	60174
339	0	60174
340	0	60174
341	0	60174
342	0	60174
343	0	60174
344	0	60174
345	0	60174
346	0	60174
347	0	60174
348	0	60174
349	0	60174
350	0	60174
351	0	60174
352	0	60174
353	0	60174
354	0	60174
355	0	60174
356	0	60174
357	0	60174
358	0	60174
359	0	60174
360	0	60174
361	0	60174
362	0	60174
363	0	60174
364	0	60174
365	0	60174
366	0	60174
367	0	60174
368	0	60174
369	0	60174
370	0	60174
371	0	60174
372	0	60174
373	0	60174
374	0	60174
375	0	60174
376	0	60174
377	0	60174
378	0	60174
379	0	60174
380	0	60174
381	0	60174
382	0	60174
383	0	60174
384	0	60174
385	0	60174
386	0	60174
387	0	60174
388	0	60174
389	0	60174
390	0	60174
391	0	60174
392	0	60174
393	0	60174
394	0	60174
395	0	60174
396	0	60174
397	0	60174
398	0	60174
399	0	60174
400	0	60174
401	0	60174
402	0	60174
403	0	60174
404	0	60174
405	0	60174
406	0	60174
407	0	60174
408	0	60174
409	0	60174
410	0	60174
411	0	60174
412	0	60174
413	0	60174
414	0	60174
415	0	60174
416	0	60174
417	0	60174
418	0	60174
419	0	60174
420	0	60174
421	0	60174
422	0	60174
423	0	60174
424	0	60174
425	0	60174
426	0	60174
427	0	60174
428	0	60174
429	0	60174
430	0	60174
431	0	60174
432	0	60174
433	0	60174
434	0	60174
435	0	60174
436	0	60174
437	0	60174
438	0	60174
439	0	60174
440	0	60174
441	0	60174
442	0	60174
443	0	60174
444	0	60174
445	0	60174
446	0	60174
447	0	60174
448	0	60174
449	0	60174
450	0	60174
451	0	60174
452	0	60174
453	0	60174
454	0	60174
455	0	60174
456	0	60174
457	0	60174
458	0	60174
459	0	60174
460	0	60174
461	0	60174
462	0	60174
463	0	60174
464	0	60174
465	0	60174
466	0	60174
467	0	60174
468	0	60174
469	0	60174
470	0	60174
471	0	60174
472	0	60174
473	0	60174
474	0	60174
475	0	60174
476	0	60174
477	0	60174
478	0	60174
479	0	60174
480	0	60174
481	0	60174
482	0	60174
483	0	60174
484	0	60174
485	0	60174
486	0	60174
487	0	60174
488	0	60174
489	0	60174
490	0	60174
491	0	60174
492	0	60174
493	0	60174
494	0	60174
495	0	60174
496	0	60174
497	0	60174
498	0	60174
499	0	60174
