Cycle	Now Cost	Total Cost
185	6016	282143
186	1107	283250
187	263	283513
188	46	283559
189	22	283581
190	6748	290329
191	651	290980
192	142	291122
193	41	291163
194	16	291179
195	11980	303159
196	1020	304179
197	221	304400
198	63	304463
199	17	304480
200	11322	315802
201	1083	316885
202	258	317143
203	50	317193
204	19	317212
205	8343	325555
206	1149	326704
207	254	326958
208	64	327022
209	22	327044
210	7680	334724
211	1214	335938
212	263	336201
213	79	336280
214	13	336293
215	5603	341896
216	892	342788
217	175	342963
218	28	342991
219	33	343024
220	2293	345317
221	79	345396
222	0	345396
223	0	345396
224	0	345396
225	10190	355586
226	1167	356753
227	249	357002
228	54	357056
229	26	357082
230	10630	367712
231	869	368581
232	261	368842
233	39	368881
234	17	368898
235	11733	380631
236	982	381613
237	240	381853
238	45	381898
239	13	381911
240	9549	391460
241	1117	392577
242	339	392916
243	102	393018
244	14	393032
245	6285	399317
246	696	400013
247	101	400114
248	71	400185
249	31	400216
250	0	400216
251	0	400216
252	0	400216
253	0	400216
254	0	400216
255	0	400216
256	0	400216
257	0	400216
258	0	400216
259	0	400216
260	0	400216
261	0	400216
262	0	400216
263	0	400216
264	0	400216
265	0	400216
266	0	400216
267	0	400216
268	0	400216
269	0	400216
270	0	400216
271	0	400216
272	0	400216
273	0	400216
274	0	400216
275	0	400216
276	0	400216
277	0	400216
278	0	400216
279	0	400216
280	0	400216
281	0	400216
282	0	400216
283	0	400216
284	0	400216
285	0	400216
286	0	400216
287	0	400216
288	0	400216
289	0	400216
290	0	400216
291	0	400216
292	0	400216
293	0	400216
294	0	400216
295	0	400216
296	0	400216
297	0	400216
298	0	400216
299	0	400216
300	0	400216
301	0	400216
302	0	400216
303	0	400216
304	0	400216
305	0	400216
306	0	400216
307	0	400216
308	0	400216
309	0	400216
310	0	400216
311	0	400216
312	0	400216
313	0	400216
314	0	400216
315	0	400216
316	0	400216
317	0	400216
318	0	400216
319	0	400216
320	0	400216
321	0	400216
322	0	400216
323	0	400216
324	0	400216
325	0	400216
326	0	400216
327	0	400216
328	0	400216
329	0	400216
330	0	400216
331	0	400216
332	0	400216
333	0	400216
334	0	400216
335	0	400216
336	0	400216
337	0	400216
338	0	400216
339	0	400216
340	0	400216
341	0	400216
342	0	400216
343	0	400216
344	0	400216
345	0	400216
346	0	400216
347	0	400216
348	0	400216
349	0	400216
350	0	400216
351	0	400216
352	0	400216
353	0	400216
354	0	400216
355	0	400216
356	0	400216
357	0	400216
358	0	400216
359	0	400216
360	0	400216
361	0	400216
362	0	400216
363	0	400216
364	0	400216
365	0	400216
366	0	400216
367	0	400216
368	0	400216
369	0	400216
370	0	400216
371	0	400216
372	0	400216
373	0	400216
374	0	400216
375	0	400216
376	0	400216
377	0	400216
378	0	400216
379	0	400216
380	0	400216
381	0	400216
382	0	400216
383	0	400216
384	0	400216
385	0	400216
386	0	400216
387	0	400216
388	0	400216
389	0	400216
390	0	400216
391	0	400216
392	0	400216
393	0	400216
394	0	400216
395	0	400216
396	0	400216
397	0	400216
398	0	400216
399	0	400216
400	0	400216
401	0	400216
402	0	400216
403	0	400216
404	0	400216
405	0	400216
406	0	400216
407	0	400216
408	0	400216
409	0	400216
410	0	400216
411	0	400216
412	0	400216
413	0	400216
414	0	400216
415	0	400216
416	0	400216
417	0	400216
418	0	400216
419	0	400216
420	0	400216
421	0	400216
422	0	400216
423	0	400216
424	0	400216
425	0	400216
426	0	400216
427	0	400216
428	0	400216
429	0	400216
430	0	400216
431	0	400216
432	0	400216
433	0	400216
434	0	400216
435	0	400216
436	0	400216
437	0	400216
438	0	400216
439	0	400216
440	0	400216
441	0	400216
442	0	400216
443	0	400216
444	0	400216
