Cycle	Average Remaining	Standard Deviation
134	60.07772020725388	26.611615356730095
135	60.44619422572178	26.634911445805578
136	60.24	26.96110779128584
137	60.3551912568306	26.753322093992065
138	60.25352112676056	26.579192641088454
139	60.229885057471265	26.70219096340229
140	60.116279069767444	26.63095341565775
141	55.575221238938056	27.792213511266024
142	55.34743202416919	27.87316483098331
143	55.172413793103445	28.016819384330994
144	54.967948717948715	28.036592184410097
145	54.724919093851135	28.171702272224557
146	51.73770491803279	29.209600347931676
147	51.93333333333333	29.09012814608345
148	52.17687074829932	28.9276865813876
149	52.508710801393725	29.042621777937175
150	52.214285714285715	29.35401443185077
151	48.43065693430657	30.64826519764068
152	48.333333333333336	30.30401513551192
153	48.20610687022901	30.622320798527554
154	48.41085271317829	30.751777747397345
155	48.53174603174603	31.207864009158172
156	45.10204081632653	32.12429006989561
157	44.125	32.7099787271917
158	44.525862068965516	32.69989632065656
159	44.54148471615721	32.759154757106735
160	45.043103448275865	33.554671035131065
161	44.86607142857143	33.55370328986484
162	44.45454545454545	34.05355529308463
163	44.13953488372093	34.39650453268563
164	44.76190476190476	34.48289858443721
165	45.829383886255926	34.25917493368539
166	50.84870848708487	30.718066739105232
167	50.804597701149426	31.09260911059806
168	50.89494163424124	31.03443989015062
169	51.37651821862348	30.986130884119657
170	51.31147540983606	31.161342929995083
171	48.92116182572614	32.343539974610415
172	49.07949790794979	32.10025916077794
173	49.35344827586207	31.893843081636515
174	49.3421052631579	32.18954640107447
175	48.78378378378378	32.82856800165372
176	45.321100917431195	33.34916017387345
177	44.92890995260664	33.43137502556273
178	45.04854368932039	33.38436725475951
179	44.97536945812808	33.48800936658313
180	45.65217391304348	33.44907442232363
181	48.78151260504202	31.999515611403424
182	48.986784140969164	31.614582792985956
183	49.327354260089685	31.420037006537225
184	49.5	31.523079568064816
185	49.06542056074766	31.492207061410337
186	44.51456310679612	32.84600326140005
187	44.10891089108911	33.22416607311307
188	44.213197969543145	33.37022017035301
189	44.53125	33.16784277384999
190	45.572916666666664	32.96290759186335
191	48.133971291866025	32.128999561245024
192	48.35748792270532	32.03262852621512
193	48.10945273631841	31.798479343082814
194	47.88659793814433	32.44316138069948
195	47.67195767195767	32.63216521558368
196	44.51086956521739	33.78236563339338
197	44.5	33.65717688035578
198	44.68926553672316	33.592737648583324
199	45.26315789473684	33.24272079249689
200	46.76470588235294	33.024317348465814
201	53.034188034188034	29.30293610598256
202	52.857142857142854	30.042486921161576
203	52.85067873303167	30.119504271835705
204	52.757009345794394	30.077817088231026
205	52.372093023255815	30.36322389111858
206	52.285714285714285	30.38863912311807
207	52.51207729468599	30.121847971549222
208	52.19512195121951	30.172220323313134
209	52.18905472636816	30.175841682576976
210	52.524752475247524	30.405592397037772
211	61.681957186544345	26.259356734001848
212	61.629392971246006	26.202524364441153
213	61.785714285714285	26.33517192175555
214	61.34680134680135	26.32721058197658
215	61.37931034482759	26.62149364517549
216	64.16438356164383	25.9653478105074
217	64.32960893854748	25.635839142819844
218	64.44444444444444	25.281573554274367
219	64.71976401179941	25.44847520268991
220	64.63126843657817	25.603054470539035
221	66.83417085427136	25.190769826915048
222	67.0126582278481	25.255153628717544
223	66.64907651715039	25.37646868951239
224	66.73913043478261	25.57052222394554
225	66.86648501362397	25.737508644898156
226	70.25263157894737	24.486111163049042
227	70.12903225806451	24.009190054559507
228	70.13100436681222	24.079099167609222
229	70.0	24.142302696926453
230	69.95565410199556	23.852404963249718
231	70.42462845010616	24.04114325076451
232	70.412147505423	23.988067232074787
233	70.3956043956044	23.990387722068622
234	70.53932584269663	24.135302236322467
235	70.74660633484163	23.79691525839843
236	72.45579567779961	23.335714338841523
237	72.34126984126983	23.562809070172474
238	72.27180527383368	23.588484634473296
239	72.39583333333333	23.71246119600881
240	72.55765199161425	23.424772002985076
241	73.89799635701274	22.513690676173475
242	73.80073800738008	22.67660530727959
243	73.67231638418079	22.70582037238989
244	73.71647509578544	22.81970272312531
245	73.63457760314341	22.46310816040198
246	74.0909090909091	22.00018782789846
247	74.10018552875695	22.134513772133037
248	74.22641509433963	21.69972102328582
249	74.2084942084942	22.09400211063213
250	73.92430278884463	22.06798226698238
251	73.87096774193549	21.90299420277577
252	73.88090349075975	21.646762319966687
253	73.83157894736843	21.702332744140644
254	74.0343347639485	21.660642745771817
255	73.91982182628063	21.72122574256997
256	73.66132723112128	21.85609866851703
257	73.65795724465558	21.88647606340423
258	73.50119904076739	21.60153723931088
259	73.25925925925925	21.796917767029814
260	72.88265306122449	22.08212835178655
261	73.18302387267904	21.679705697510062
262	73.10810810810811	21.593309165814745
263	73.27777777777777	21.728970250523798
264	73.13725490196079	21.81474047932915
265	73.41040462427746	22.32591146995683
266	73.44311377245509	22.023578451666353
267	73.65853658536585	21.916130491688886
268	73.53846153846153	22.120273707071078
269	73.375	21.936164489262932
270	73.34394904458598	22.075485772507356
271	73.58306188925081	21.82619465898774
272	73.7748344370861	22.182316673844667
273	73.54729729729729	22.104174921060366
274	73.5191637630662	22.31208821318997
275	73.971119133574	22.121570130338267
276	73.88278388278388	22.25497056982857
277	73.76383763837639	22.372794452606502
278	73.73584905660377	22.081921328430642
279	73.66795366795367	22.88341128563444
280	73.671875	23.047934297689782
281	73.81889763779527	23.182959795920127
282	73.86178861788618	22.578986438591347
283	73.80165289256199	22.704195646748868
284	73.78151260504201	22.875286298842397
285	73.82978723404256	22.866748450511245
286	74.10480349344978	22.2545107387651
287	74.2152466367713	21.805390959714295
288	74.07239819004525	21.966170423318566
289	74.07239819004525	21.960437278679414
290	73.94495412844037	22.10904485701543
291	73.86046511627907	22.246808705210984
292	73.64077669902913	22.248320077102033
293	73.43283582089552	22.054059154944046
294	73.46733668341709	22.321741530307026
295	73.3678756476684	22.035472051009755
296	73.06451612903226	21.82113617675298
297	72.52808988764045	22.34550120410413
298	72.42774566473989	21.935254753842585
299	72.60355029585799	20.574535443131534
300	72.66666666666667	20.65493313052025
301	72.6829268292683	20.68035246288835
302	73.6024844720497	20.330872892658757
303	73.43949044585987	19.830103156473935
304	73.76623376623377	19.623071499256564
305	73.88157894736842	19.452446634174354
306	73.58108108108108	19.919372725770412
307	73.52112676056338	19.38219569651109
308	73.59712230215827	19.59649372004509
309	73.47826086956522	20.025975570307015
310	73.33333333333333	19.695208416462666
311	73.2824427480916	20.236927730845185
312	72.77777777777777	21.013768896729367
313	72.77777777777777	21.482735778013407
314	73.33333333333333	20.78408813932424
315	73.78151260504201	20.807951254099475
316	73.58974358974359	21.03658251894223
317	73.65217391304348	21.110385908237365
318	73.80530973451327	21.40715098379537
319	73.96396396396396	20.85833659092872
320	73.98148148148148	20.20237969657693
321	73.65384615384616	20.526537881397562
322	73.49514563106796	21.16727520130163
323	73.77551020408163	21.390880360539548
324	74.0	21.462329299201624
325	74.83870967741936	21.324508233597943
326	74.83870967741936	20.97187717700627
327	74.78260869565217	21.14402854919623
328	74.55555555555556	21.230364930017767
329	74.76744186046511	20.860672524959927
330	74.57831325301204	21.14655192793835
331	74.39024390243902	21.94512110410071
332	74.19753086419753	22.13081337123625
333	74.19753086419753	22.13081337123625
334	74.0	22.259829289552066
335	73.79746835443038	22.39111344315335
336	73.71794871794872	22.176522700952276
337	73.50649350649351	22.31575488695675
338	73.50649350649351	22.315754886956753
339	74.65753424657534	22.374522411510355
340	74.14285714285714	21.237721542729833
341	73.67647058823529	22.139558139269088
342	73.43283582089552	22.12028922429478
343	73.48484848484848	21.74704311619215
344	72.96875	22.194651136309847
345	72.96875	22.194651136309847
346	72.62295081967213	22.689969630851554
347	72.03389830508475	23.179476603090496
348	72.03389830508475	23.54224475566408
349	72.03389830508475	23.478094333454624
350	72.5	22.579225597248204
351	73.81818181818181	22.184053538633528
352	73.51851851851852	22.581205387726506
353	73.51851851851852	22.581205387726506
354	73.39622641509433	23.339859061355014
355	72.74509803921569	23.579195699160305
356	73.6734693877551	24.973955613306977
357	73.33333333333333	25.221243250702592
358	72.6086956521739	23.480273665734163
359	73.18181818181819	21.266704664162873
360	72.79069767441861	22.647867579422975
361	72.79069767441861	22.647867579422975
362	72.63157894736842	20.950409723679094
363	72.57142857142857	21.757475843995348
364	72.94117647058823	17.982113373685618
365	72.42424242424242	18.9630155723176
366	71.875	20.615528128088304
367	71.875	21.2775556631865
368	71.875	22.09708691207961
369	72.90322580645162	21.61771732615033
370	72.33333333333333	22.223611067711047
371	72.33333333333333	22.223611067711047
372	72.33333333333333	22.223611067711047
373	71.72413793103448	22.784729016112813
374	71.72413793103448	23.333899545816788
375	71.72413793103448	23.333899545816788
376	71.48148148148148	24.949881174961916
377	71.48148148148148	24.949881174961916
378	71.15384615384616	26.122719033518354
379	71.15384615384616	23.499339031369423
380	71.15384615384616	26.671905303978168
381	71.15384615384616	26.671905303978168
382	71.15384615384616	27.727008173413164
383	71.15384615384616	27.95018815234486
384	70.8	25.777509577148834
385	70.83333333333333	22.000631304073476
386	70.0	22.74623714700579
387	73.18181818181819	21.344285239770716
388	73.18181818181819	21.344285239770716
389	73.33333333333333	16.475089420958284
390	73.15789473684211	16.891375300927592
391	73.15789473684211	16.891375300927592
392	73.15789473684211	17.14368155252877
393	73.15789473684211	16.776186790009714
394	73.15789473684211	16.776186790009714
395	77.22222222222223	14.751020052613061
396	76.47058823529412	16.3652091096983
397	75.625	16.7588595972399
398	75.625	16.7588595972399
399	75.625	16.7588595972399
400	75.625	16.7588595972399
401	74.28571428571429	16.6904592079256
402	74.28571428571429	19.32535608352669
403	74.28571428571429	19.32535608352669
404	73.07692307692308	17.59168711696811
405	73.07692307692308	17.59168711696811
406	73.07692307692308	17.59168711696811
407	73.07692307692308	17.062363856014485
408	73.07692307692308	17.85874887114446
409	73.07692307692308	17.85874887114446
410	73.07692307692308	18.20332240953728
411	73.07692307692308	18.20332240953728
412	73.07692307692308	18.20332240953728
413	73.07692307692308	18.95182306885372
414	72.5	20.155644370746373
415	72.5	20.463381929681123
416	72.5	20.463381929681123
417	72.5	20.463381929681123
418	72.5	20.463381929681123
419	72.5	22.958295523259853
420	72.5	22.958295523259853
421	72.5	18.984642916490863
422	72.5	19.63203164898291
423	72.5	19.63203164898291
424	71.81818181818181	21.320071635561046
425	71.81818181818181	21.320071635561046
426	71.81818181818181	21.320071635561046
427	71.81818181818181	21.320071635561046
428	71.81818181818181	21.320071635561046
429	71.81818181818181	21.320071635561046
430	71.0	21.93171219946131
431	71.25	22.534695471649933
432	71.25	22.534695471649933
433	68.57142857142857	26.61133715742451
434	68.57142857142857	26.61133715742451
435	68.57142857142857	26.61133715742451
436	71.66666666666667	30.776975521032316
437	71.66666666666667	30.776975521032316
438	71.66666666666667	30.776975521032316
439	71.66666666666667	30.776975521032316
440	71.66666666666667	30.776975521032316
441	71.66666666666667	30.776975521032316
442	71.66666666666667	30.776975521032313
443	72.0	24.576411454889016
444	72.0	24.576411454889016
445	72.0	24.576411454889016
446	72.0	24.576411454889016
447	72.0	24.576411454889016
448	82.5	30.516389039334257
449	82.5	30.516389039334257
450	82.5	30.516389039334257
451	82.5	30.516389039334257
452	82.5	30.516389039334257
453	82.5	22.22048604328897
454	82.5	27.04163456597992
455	82.5	27.04163456597992
456	82.5	27.04163456597992
457	82.5	27.04163456597992
458	82.5	27.04163456597992
459	82.5	27.04163456597992
460	82.5	27.04163456597992
461	82.5	27.04163456597992
462	82.5	27.04163456597992
463	82.5	27.04163456597992
464	82.5	6.614378277661476
465	82.5	6.614378277661476
466	82.5	6.614378277661476
467	82.5	6.614378277661476
468	80.0	29.43920288775949
469	80.0	29.43920288775949
470	80.0	29.43920288775949
471	85.0	39.05124837953327
472	85.0	40.311288741492746
473	85.0	40.311288741492746
474	85.0	40.311288741492746
475	85.0	42.720018726587654
476	85.0	42.720018726587654
477	85.0	18.027756377319946
478	85.0	18.027756377319946
479	85.0	18.027756377319946
480	85.0	18.027756377319946
481	85.0	25.0
482	85.0	32.01562118716424
483	85.0	39.05124837953327
484	90.0	70.0
485	90.0	70.0
486	90.0	70.0
487	90.0	70.0
488	90.0	70.0
489	90.0	70.0
490	90.0	70.0
491	90.0	70.0
492	90.0	70.0
493	90.0	70.0
494	90.0	70.0
495	90.0	70.0
496	90.0	70.0
497	90.0	70.0
498	100.0	0.0
499	100.0	0.0
