Cycle	Now Cost	Average Cost
340	0	224.0058651026393
341	0	223.35087719298247
342	0	222.6997084548105
343	0	222.05232558139534
344	0	221.40869565217392
345	0	220.76878612716763
346	0	220.13256484149855
347	0	219.5
348	0	218.87106017191977
349	0	218.24571428571429
350	0	217.6239316239316
351	0	217.0056818181818
352	0	216.39093484419263
353	0	215.77966101694915
354	0	215.1718309859155
355	0	214.56741573033707
356	0	213.96638655462183
357	0	213.3687150837989
358	0	212.77437325905294
359	0	212.18333333333334
360	0	211.595567867036
361	0	211.0110497237569
362	0	210.4297520661157
363	0	209.85164835164835
364	0	209.27671232876713
365	0	208.70491803278688
366	0	208.13623978201636
367	0	207.57065217391303
368	0	207.0081300813008
369	0	206.44864864864866
370	0	205.8921832884097
371	0	205.33870967741936
372	0	204.7882037533512
373	0	204.24064171122996
374	0	203.696
375	0	203.15425531914894
376	0	202.6153846153846
377	0	202.0793650793651
378	0	201.5461741424802
379	0	201.0157894736842
380	0	200.48818897637796
381	0	199.9633507853403
382	0	199.44125326370758
383	0	198.921875
384	0	198.4051948051948
385	0	197.89119170984455
386	0	197.3798449612403
387	0	196.87113402061857
388	0	196.3650385604113
389	0	195.86153846153846
390	0	195.36061381074168
391	0	194.8622448979592
392	0	194.36641221374046
393	0	193.87309644670052
394	0	193.38227848101266
395	0	192.8939393939394
396	0	192.4080604534005
397	0	191.9246231155779
398	0	191.4436090225564
399	0	190.965
400	0	190.48877805486285
401	0	190.01492537313433
402	0	189.54342431761788
403	0	189.0742574257426
404	0	188.6074074074074
405	0	188.14285714285714
406	0	187.6805896805897
407	0	187.22058823529412
408	0	186.76283618581908
409	0	186.30731707317074
410	0	185.85401459854015
411	0	185.40291262135923
412	0	184.95399515738498
413	0	184.5072463768116
414	0	184.06265060240963
415	0	183.62019230769232
416	0	183.17985611510792
417	0	182.74162679425837
418	0	182.3054892601432
419	0	181.87142857142857
420	0	181.4394299287411
421	0	181.00947867298578
422	0	180.58156028368793
423	0	180.1556603773585
424	0	179.73176470588234
425	0	179.30985915492957
426	0	178.88992974238874
427	0	178.47196261682242
428	0	178.05594405594405
429	0	177.64186046511628
430	0	177.22969837587007
431	0	176.81944444444446
432	0	176.41108545034643
433	0	176.00460829493088
434	0	175.6
435	0	175.19724770642202
436	0	174.79633867276888
437	0	174.3972602739726
438	0	174.0
439	0	173.60454545454544
440	0	173.2108843537415
441	0	172.81900452488688
442	0	172.42889390519187
443	0	172.04054054054055
444	0	171.65393258426965
445	0	171.26905829596413
446	0	170.88590604026845
447	0	170.50446428571428
448	0	170.12472160356347
449	0	169.74666666666667
450	0	169.37028824833703
451	0	168.99557522123894
452	0	168.6225165562914
453	0	168.2511013215859
454	0	167.88131868131867
455	0	167.51315789473685
456	0	167.14660831509846
457	0	166.7816593886463
458	0	166.41830065359477
459	0	166.05652173913043
460	0	165.69631236442515
461	0	165.33766233766235
462	0	164.98056155507558
463	0	164.625
464	0	164.2709677419355
465	0	163.91845493562232
466	0	163.56745182012847
467	0	163.21794871794873
468	0	162.86993603411514
469	0	162.52340425531915
470	0	162.17834394904457
471	0	161.83474576271186
472	0	161.492600422833
473	0	161.15189873417722
474	0	160.81263157894736
475	0	160.4747899159664
476	0	160.13836477987422
477	0	159.80334728033472
478	0	159.4697286012526
479	0	159.1375
480	0	158.8066528066528
481	0	158.47717842323652
482	0	158.14906832298138
483	0	157.82231404958677
484	0	157.49690721649483
485	0	157.17283950617283
486	0	156.85010266940452
487	0	156.52868852459017
488	0	156.2085889570552
489	0	155.88979591836735
490	0	155.57230142566192
491	0	155.2560975609756
492	0	154.94117647058823
493	0	154.62753036437246
494	0	154.3151515151515
495	0	154.0040322580645
496	0	153.69416498993965
497	0	153.3855421686747
498	0	153.07815631262525
499	0	152.772
