Cycle	Now Cost	Average Cost	Number of Replication
269	11244	4590.8481481481485	16
270	9384	4608.535055350553	13
271	15281	4647.77205882353	23
272	2073	4638.340659340659	3
273	13348	4670.1277372262775	20
274	0	4653.145454545454	0
275	7925	4665.0	12
276	8662	4679.429602888086	11
277	20280	4735.546762589928	26
278	13618	4767.383512544803	18
279	6349	4773.032142857143	12
280	16610	4815.156583629893	20
281	14169	4848.326241134751	20
282	9202	4863.7102473498235	11
283	5513	4865.9964788732395	6
284	865	4851.957894736842	1
285	1086	4838.79020979021	1
286	9478	4854.954703832753	12
287	15830	4893.0625	21
288	10297	4911.76124567474	15
289	6354	4916.73448275862	9
290	15109	4951.759450171821	20
291	2047	4941.811643835616	4
292	11141	4962.96928327645	14
293	8474	4974.911564625851	11
294	7939	4984.959322033898	10
295	6799	4991.0878378378375	10
296	8766	5003.79797979798	11
297	1150	4990.86577181208	1
298	9715	5006.665551839465	11
299	0	4989.9766666666665	0
300	7923	4999.720930232558	11
301	5551	5001.546357615894	7
302	13716	5030.306930693069	20
303	7670	5038.9901315789475	11
304	7412	5046.770491803279	11
305	5763	5049.111111111111	8
306	7688	5057.70684039088	11
307	7826	5066.694805194805	10
308	1047	5053.686084142395	1
309	5815	5056.141935483871	10
310	7852	5065.131832797428	10
311	6550	5069.891025641025	10
312	19150	5114.875399361023	30
313	6654	5119.777070063694	10
314	5067	5119.609523809524	7
315	6587	5124.2531645569625	10
316	5960	5126.889589905363	10
317	6677	5131.764150943396	10
318	7251	5138.407523510972	10
319	766	5124.74375	1
320	2215	5115.679127725857	3
321	593	5101.633540372671	1
322	760	5088.1919504643965	1
323	0	5072.4876543209875	0
324	10339	5088.692307692308	15
325	11183	5107.386503067484	17
326	7543	5114.834862385321	12
327	0	5099.240853658536	0
328	2333	5090.83282674772	5
329	1881	5081.106060606061	3
330	16269	5114.906344410876	27
331	12920	5138.415662650603	21
332	5175	5138.525525525525	8
333	575	5124.862275449102	1
334	0	5109.564179104477	0
335	2112	5100.642857142857	4
336	0	5085.507418397626	0
337	4781	5084.60650887574	7
338	9667	5098.123893805309	17
339	1908	5088.7411764705885	3
340	29131	5159.24633431085	49
341	0	5144.160818713451	0
342	8176	5153.0	13
343	0	5138.020348837209	0
344	23525	5191.315942028986	41
345	2994	5184.9653179190755	5
346	12376	5205.688760806916	20
347	1540	5195.1551724137935	2
348	6382	5198.555873925501	10
349	6622	5202.622857142857	10
350	16332	5234.330484330484	25
351	0	5219.460227272727	0
352	9313	5231.056657223796	14
353	6476	5234.573446327684	10
354	0	5219.828169014085	0
355	5685	5221.134831460674	10
356	0	5206.509803921569	0
357	6480	5210.067039106145	10
358	12844	5231.33147632312	20
359	2698	5224.294444444445	4
360	4785	5223.07756232687	8
361	2648	5215.96408839779	4
362	6747	5220.181818181818	10
363	12453	5240.052197802198	20
364	20029	5280.5698630136985	33
365	7004	5285.2786885245905	10
366	461	5272.133514986376	1
367	18993	5309.41847826087	27
368	7610	5315.653116531165	11
369	3544	5310.864864864865	5
370	12844	5331.169811320755	21
371	2748	5324.225806451613	4
372	0	5309.951742627346	0
373	0	5295.754010695187	0
374	6066	5297.808	10
375	339	5284.619680851064	1
376	0	5270.6021220159155	0
377	0	5256.658730158731	0
378	7116	5261.564643799472	10
379	7484	5267.413157894737	12
380	10378	5280.826771653543	14
381	6554	5284.159685863874	10
382	5893	5285.749347258486	10
383	7832	5292.380208333333	12
384	6022	5294.275324675325	10
385	21602	5336.5233160621765	31
386	3853	5332.68992248062	7
387	14329	5355.876288659794	20
388	0	5342.107969151671	0
389	0	5328.410256410257	0
390	7800	5334.731457800512	12
391	3235	5329.375	5
392	7566	5335.066157760814	11
393	14401	5358.076142131979	20
394	15233	5383.0759493670885	20
395	13934	5404.669191919192	20
396	7598	5410.19395465995	10
397	7481	5415.396984924623	10
398	9049	5424.503759398496	11
399	4364	5421.8525	7
400	596	5409.817955112219	2
401	0	5396.360696517413	0
402	6314	5398.637717121588	10
403	2951	5392.579207920792	4
404	16736	5420.587654320988	24
405	17591	5450.564039408867	25
406	0	5437.17199017199	0
407	3916	5433.443627450981	6
408	0	5420.158924205379	0
409	12358	5437.080487804878	15
410	6271	5439.109489051095	10
411	2450	5431.854368932039	4
412	10436	5443.970944309927	16
413	6687	5446.97342995169	10
414	7625	5452.221686746988	10
415	7097	5456.1754807692305	10
416	2553	5449.213429256594	4
417	6834	5452.526315789473	10
418	9179	5461.420047732697	13
419	290	5449.107142857143	1
420	15664	5473.37054631829	23
421	15737	5497.691943127962	24
422	0	5484.695035460993	0
423	7214	5488.773584905661	10
424	8110	5494.941176470588	10
425	12899	5512.321596244132	17
426	6831	5515.4098360655735	10
427	26760	5565.046728971963	37
428	7253	5568.981351981352	10
